N,Recursive (ms),Memoized (ms),Bottom-up (ms)
0,0.009508,0.015727,0.012982
1,0.000467,0.008315,0.000673
2,0.000629,0.00165,0.000521
3,0.001759,0.000825,0.000369
4,0.001303,0.001096,0.000315
5,0.001107,0.008966,0.000966
6,0.001237,0.002551,0.000554
7,0.001791,0.001574,0.000423
8,0.002768,0.001639,0.000358
9,0.004364,0.001791,0.000348
10,0.006611,0.002192,0.000445
11,0.010648,0.00241,0.000391
12,0.017518,0.002508,0.000434
13,0.02961,0.002627,0.000435
14,0.127668,0.004016,0.000652
15,0.0784,0.0033,0.000543
16,0.167709,0.004168,0.000684
17,0.151492,0.003919,0.000489
18,0.115446,0.002909,0.000325
19,0.191274,0.004168,0.000391
20,0.179182,0.003831,0.000379
21,0.107044,0.003094,0.000315
22,0.173005,0.003212,0.000326
23,0.294921,0.00406,0.000402
24,0.46048,0.003517,0.000348
25,0.737025,0.003636,0.000358
26,1.27508,0.00457,0.000467
27,1.968286,0.004775,0.000456
28,3.223275,0.006068,0.000466
29,5.131234,0.005416,0.000478
30,8.439247,0.01093,0.000705
31,13.605084,0.010528,0.000651
32,22.110424,0.009986,0.000695
33,35.849372,0.011744,0.000717
34,57.787561,0.012505,0.000792
35,94.315049,0.01918,0.00102
36,149.932227,0.022892,0.000716
37,244.007409,0.01283,0.000748
38,397.152,0.025876,0.000825
39,645.122909,0.014317,0.001574
40,1033.058973,0.01995,0.001802
